,year_month, heliofania_media, heliofania_total, pres_atm_nivel_mar, pres_atm_nivel_estacion, precip_max_24h, dia_precip_max, precip_total, dias_con_precip, viento_vel_med, viento_vel_max, humedad_relativa_media, temp_max, dia_temp_max, temp_min, dia_temp_min, media_temp_max, media_temp_min, temp_media, dias_menos_0, dias_entre_0_y_5, dias_entre_35_y_40, dias_superior_40, temp_rocio
46,2022_11,10.0,170.8,1016.2,997.0,59.8,12,67.4,2,4.2,16.7,70.2,33.6,17,7.6,2,28.5,15.4,21.7,0,0,0,0,16.0
47,2022_12,9.2,91.8,1011.4,992.7,2.4,27,2.4,1,4.4,13.0,67.9,38.4,31,16.2,29,34.0,20.4,26.9,0,0,3,0,20.2
48,2023_01,8.6,128.8,1011.4,992.6,47.8,3,59.8,4,4.0,13.0,75.5,39.0,1,17.4,4,32.6,20.3,26.0,0,0,1,0,20.8
49,2023_02,6.0,24.0,1013.0,994.1,0.4,26,0.4,0,4.9,9.3,80.3,32.2,25,21.2,28,30.5,21.7,25.3,0,0,0,0,21.7
50,2023_03,7.4,213.7,1012.0,993.2,34.6,29,116.1,7,3.9,11.1,79.9,35.6,29,17.0,28,32.4,21.6,25.9,0,0,9,0,22.1
51,2023_04,6.7,193.3,1014.0,994.9,45.0,25,117.8,7,3.7,13.0,82.5,34.0,3,10.0,21,27.9,17.1,21.5,0,0,0,0,18.2
52,2023_05,5.7,176.5,1016.3,997.1,60.0,21,91.1,6,3.5,16.7,83.2,31.4,1,9.4,14,25.4,16.0,19.7,0,0,0,0,16.5
53,2023_06,6.3,183.1,1017.7,998.4,12.4,10,17.7,2,5.5,25.9,82.7,30.6,26,8.0,14,25.0,14.7,18.8,0,0,0,0,15.8
54,2023_07,6.3,193.8,1018.3,999.0,29.8,12,65.2,4,8.9,29.6,80.8,33.2,23,5.0,15,25.7,15.0,19.6,0,1,0,0,15.9
55,2023_08,7.5,233.7,1014.6,995.6,33.4,18,98.1,7,6.6,29.6,76.0,35.0,22,8.4,27,28.7,16.3,21.5,0,0,1,0,16.7
56,2023_09,6.7,201.6,1011.9,993.0,61.0,1,176.8,10,9.7,33.3,74.7,38.6,24,9.5,15,30.5,18.8,23.6,0,0,11,0,18.5
57,2023_10,5.9,184.1,1010.1,991.2,72.2,27,253.5,12,7.0,25.9,80.2,39.0,16,12.0,13,29.9,19.4,23.9,0,0,6,0,20.1
58,2023_11,5.8,173.1,1009.1,990.3,112.2,13,400.9,15,6.0,25.9,81.6,39.0,11,11.6,5,31.3,21.3,25.5,0,0,9,0,21.9
59,2023_12,6.5,196.0,1010.2,991.5,48.4,7,183.3,12,5.1,16.7,81.3,38.6,16,18.0,30,33.0,23.2,27.3,0,0,11,0,23.4
